"key","uk","ru"
"banner.title","","Серебряные украшения Daisy Jewellery — ваш любимый интернет-магазин"
"item.buy","Купити","Купить"
"products.braslety.3485.description","","Элегантный серебряный браслет с перламутром и куб.цирконием. Длина регулируется – 17-19 см."
"products.braslety.3485.title","","Серебряный браслет с перламутром и куб.цирконием Клевер"
"products.braslety.4717.description","","Изысканный серебряный браслет со вставкой оникс и куб.цирконием. Длина регулируется – 16-19 см."
"products.braslety.4717.title","","Серебряный браслет Клевер оникс и куб.цирконий серебряный браслет"
"products.braslety.4736.description","","Вишуканий срібний браслет зі вставкою сердолік і куб.цирконій. Довжина регулюється – 16-19 см."
"products.braslety.4736.title","","Браслет из серебра 925 пробы с сердоликом Клевер"
"products.braslety.4832.description","","Изысканный серебряный браслет с перламутром. Диаметр клевера – 1 см. Длина регулируется – 17-19 см."
"products.braslety.4832.title","","Серебряный браслет с перламутром Клевер 1 см"
"products.braslety.4834.description","","Женский серебряный серебряный браслет-гвоздь. Размер регулируется."
"products.braslety.4834.title","","Серебряный браслет-гвоздь"
"products.braslety.4904.description","","Серебряный женский браслет твердый с надписью."
"products.braslety.4904.title","","Серебряный браслет твердый с надписью"
"products.braslety.4939.description","","Серебряный браслет с вставкой оникс и россыпью фианитов. Длина регулируется – 17-19 см."
"products.braslety.4939.title","","Серебряный браслет с ониксом и фианитами Клевер"
"products.braslety.4940.description","","Женский браслет из серебра 925 пробы с перламутром. Длина регулируется – 17-19 см."
"products.braslety.4940.title","","Браслет из серебра 926 пробы с перламутром и фианиатами Клевер"
"products.braslety.5165.description","","Изысканный серебряный браслет со вставкой малахит. Диаметр клевера – 1,5 см. Длина регулируется – 17-19 см."
"products.braslety.5165.title","","Серебряный браслет малахит Клевер 1 см"
"products.braslety.5166.description","","Изысканный серебряный браслет со вставкой малахит. Диаметр клевера – 1,5 см. Длина регулируется – 16-19 см."
"products.braslety.5166.title","","Серебряный браслет малахит Клевер 1,5 см"
"products.braslety.5259.description","","Элегантный браслет с 5 вставками, украшенными фианиатами. Длина регулируется – 17-19 см."
"products.braslety.5259.title","","Серебряный браслет с фианитами Клевер 5 вставок"
"products.braslety.5740.description","","Элегантный серебряный браслет с перламутром. Диаметр клевера – 1,5 см. Длина регулируется – 17-20 см."
"products.braslety.5740.title","","Серебряный браслет с перламутром Клевер 1,5 см"
"products.braslety.5741.description","","Стильный серебряный браслет со вставкой оникс. Диаметр клевера – 1,5 см. Длина регулируется – 17-20 см."
"products.braslety.5741.title","","Серебряный браслет оникс Клевер 1.5 см"
"products.braslety.5743.description","","Женский браслет «Клевер» из серебра 925 пробы с перламутром. Длина регулируется – 17-20 см."
"products.braslety.5743.title","","Серебряный браслет «Клевер» с перламутром 5 вставок"
"products.braslety.5746.description","","Элегантный серебряный браслет со вставкой оникс. Длина регулируется – 17-20 см."
"products.braslety.5746.title","","Браслет из серебра 925 пробы оникс Клевер 1 см"
"products.braslety.5893.description","","Стильный серебряный браслет с тремя вставками, украшенными россыпью фианитов. Длина регулируется – 16-19 см."
"products.braslety.5893.title","","Браслет серебро 925° с фианитами"
"products.braslety.6158.description","","Элегантный серебряный браслет с четырьмя вставками из оникса. Длина регулируется – 16-19 см."
